,Description (2018 Census Occupation Code),2018 Census PUMS Occupation Code
chief executives and legislators,chief executives and legislators,10
chief executives, chief executives,10
legislators, legislators,30
general and operations managers,general and operations managers,20
advertising and promotions managers,advertising and promotions managers,40
marketing managers,marketing managers,51
sales managers,sales managers,52
public relations and fundraising managers,public relations and fundraising managers,60
administrative services managers,administrative services managers,101
facilities managers,facilities managers,102
computer and information systems managers,computer and information systems managers,110
financial managers,financial managers,120
compensation and benefits managers,compensation and benefits managers,135
human resources managers,human resources managers,136
training and development managers,training and development managers,137
industrial production managers,industrial production managers,140
purchasing managers,purchasing managers,150
"transportation, storage, and distribution managers","transportation, storage, and distribution managers",160
"farmers, ranchers, and other agricultural managers","farmers, ranchers, and other agricultural managers",205
construction managers,construction managers,220
education and childcare administrators,education and childcare administrators,230
architectural and engineering managers,architectural and engineering managers,300
food service managers,food service managers,310
entertainment and recreation managers,entertainment and recreation managers,335
lodging managers,lodging managers,340
medical and health services managers,medical and health services managers,350
natural sciences managers,natural sciences managers,360
"property, real estate, and community association managers","property, real estate, and community association managers",410
social and community service managers,social and community service managers,420
emergency management directors,emergency management directors,425
other managers,other managers,440
funeral home managers, funeral home managers,325
postmasters and mail superintendents, postmasters and mail superintendents,400
"personal service managers, all other"," personal service managers, all other",426
"managers, all other"," managers, all other",440
"agents and business managers of artists, performers, and athletes","agents and business managers of artists, performers, and athletes",500
"buyers and purchasing agents, farm products","buyers and purchasing agents, farm products",510
"wholesale and retail buyers, except farm products","wholesale and retail buyers, except farm products",520
"purchasing agents, except wholesale, retail, and farm products","purchasing agents, except wholesale, retail, and farm products",530
"claims adjusters, appraisers, examiners, and investigators","claims adjusters, appraisers, examiners, and investigators",540
compliance officers,compliance officers,565
cost estimators,cost estimators,600
human resources workers,human resources workers,630
"compensation, benefits, and job analysis specialists","compensation, benefits, and job analysis specialists",640
training and development specialists,training and development specialists,650
logisticians,logisticians,700
project management specialists,project management specialists,705
management analysts,management analysts,710
"meeting, convention, and event planners","meeting, convention, and event planners",725
fundraisers,fundraisers,726
market research analysts and marketing specialists,market research analysts and marketing specialists,735
"business operations specialists, all other","business operations specialists, all other",750
accountants and auditors,accountants and auditors,800
property appraisers and assessors,property appraisers and assessors,810
budget analysts,budget analysts,820
credit analysts,credit analysts,830
financial and investment analysts,financial and investment analysts,845
personal financial advisors,personal financial advisors,850
insurance underwriters,insurance underwriters,860
financial examiners,financial examiners,900
credit counselors and loan officers,credit counselors and loan officers,910
"tax examiners and collectors, and revenue agents","tax examiners and collectors, and revenue agents",930
tax preparers,tax preparers,940
other financial specialists,other financial specialists,960
financial risk specialists,financial risk specialists,960
"financial specialists, all other","financial specialists, all other",960
computer and information research scientists,computer and information research scientists,1005
computer systems analysts,computer systems analysts,1006
information security analysts,information security analysts,1007
computer programmers,computer programmers,1010
software developers,software developers,1021
software quality assurance analysts and testers,software quality assurance analysts and testers,1022
web developers,web developers,1031
web and digital interface designers,web and digital interface designers,1032
computer support specialists,computer support specialists,1050
database administrators and architects,database administrators and architects,1065
database administrators,database administrators,1065
database architects,database architects,1065
network and computer systems administrators,network and computer systems administrators,1105
computer network architects,computer network architects,1106
"computer occupations, all other","computer occupations, all other",1108
actuaries,actuaries,1200
operations research analysts,operations research analysts,1220
other mathematical science occupations,other mathematical science occupations,1240
mathematicians, mathematicians,1210
statisticians, statisticians,1230
data scientists,data scientists,1240
"mathematical science occupations, all other","mathematical science occupations, all other",1240
"architects, except landscape and naval","architects, except landscape and naval",1305
landscape architects,landscape architects,1306
"surveyors, cartographers, and photogrammetrists","surveyors, cartographers, and photogrammetrists",1310
aerospace engineers,aerospace engineers,1320
biomedical and agricultural engineers,biomedical and agricultural engineers,1340
agricultural engineers, agricultural engineers,1330
bioengineers and biomedical engineers, bioengineers and biomedical engineers,1340
chemical engineers,chemical engineers,1350
civil engineers,civil engineers,1360
computer hardware engineers,computer hardware engineers,1400
electrical and electronics engineers,electrical and electronics engineers,1410
environmental engineers,environmental engineers,1420
"industrial engineers, including health and safety","industrial engineers, including health and safety",1430
marine engineers and naval architects,marine engineers and naval architects,1440
materials engineers,materials engineers,1450
mechanical engineers,mechanical engineers,1460
"petroleum, mining and geological engineers, including mining safety engineers","petroleum, mining and geological engineers, including mining safety engineers",1520
"mining and geological engineers, including mining safety engineers"," mining and geological engineers, including mining safety engineers",1500
petroleum engineers, petroleum engineers,1520
other engineers,other engineers,1530
nuclear engineers, nuclear engineers,1510
"engineers, all other"," engineers, all other",1530
architectural and civil drafters,architectural and civil drafters,1541
other drafters,other drafters,1545
electrical and electronics drafters,electrical and electronics drafters,1545
mechanical drafters,mechanical drafters,1545
"drafters, all other","drafters, all other",1545
electrical and electronic engineering technologists and technicians,electrical and electronic engineering technologists and technicians,1551
"other engineering technologists and technicians, except drafters","other engineering technologists and technicians, except drafters",1555
aerospace engineering and operations technologists and technicians,aerospace engineering and operations technologists and technicians ,1555
civil engineering technologists and technicians,civil engineering technologists and technicians,1555
electro-mechanical and mechatronics technologists and technicians,electro-mechanical and mechatronics technologists and technicians,1555
environmental engineering technologists and technicians,environmental engineering technologists and technicians,1555
industrial engineering technologists and technicians,industrial engineering technologists and technicians,1555
mechanical engineering technologists and technicians,mechanical engineering technologists and technicians,1555
calibration technologists and technicians,calibration technologists and technicians,1555
"engineering technologists and technicians, except drafters, all other","engineering technologists and technicians, except drafters, all other",1555
surveying and mapping technicians,surveying and mapping technicians,1560
agricultural and food scientists,agricultural and food scientists,1600
biological scientists,biological scientists,1610
conservation scientists and foresters,conservation scientists and foresters,1640
other life scientists,other life scientists,1650
medical scientists, medical scientists,1650
"life scientists, all other"," life scientists, all other",1660
astronomers and physicists,astronomers and physicists,1700
atmospheric and space scientists,atmospheric and space scientists,1710
chemists and materials scientists,chemists and materials scientists,1720
"environmental scientists and specialists, including health","environmental scientists and specialists, including health",1745
"geoscientists and hydrologists, except geographers","geoscientists and hydrologists, except geographers",1750
"geoscientists, except hydrologists and geographers","geoscientists, except hydrologists and geographers ",1750
hydrologists,hydrologists ,1750
"physical scientists, all other","physical scientists, all other",1760
economists,economists,1800
clinical and counseling psychologists,clinical and counseling psychologists,1821
school psychologists,school psychologists,1822
other psychologists,other psychologists,1825
industrial-organizational psychologists,industrial-organizational psychologists,1825
"psychologists, all other","psychologists, all other ",1825
urban and regional planners,urban and regional planners,1840
other social scientists,other social scientists,1860
survey researchers, survey researchers,1815
sociologists, sociologists,1830
miscellaneous social scientists and related workers, miscellaneous social scientists and related workers,1860
agricultural and food science technicians,agricultural and food science technicians,1900
biological technicians,biological technicians,1910
chemical technicians,chemical technicians,1920
"environmental science and geoscience technicians, and nuclear technicians","environmental science and geoscience technicians, and nuclear technicians",1935
environmental science and geoscience technicians, environmental science and geoscience technicians,1935
nuclear technicians, nuclear technicians,1940
"other life, physical, and social science technicians","other life, physical, and social science technicians",1970
social science research assistants, social science research assistants,1950
forest and conservation technicians,forest and conservation technicians,1970
"miscellaneous life, physical, and social science technicians","miscellaneous life, physical, and social science technicians ",1970
occupational health and safety specialists and technicians,occupational health and safety specialists and technicians,1980
substance abuse and behavioral disorder counselors,substance abuse and behavioral disorder counselors,2001
"educational, guidance, and career counselors and advisors","educational, guidance, and career counselors and advisors",2002
marriage and family therapists,marriage and family therapists,2003
mental health counselors,mental health counselors,2004
rehabilitation counselors,rehabilitation counselors,2005
"counselors, all other","counselors, all other",2006
"child, family, and school social workers","child, family, and school social workers",2011
healthcare social workers,healthcare social workers,2012
mental health and substance abuse social workers,mental health and substance abuse social workers,2013
"social workers, all other","social workers, all other",2014
probation officers and correctional treatment specialists,probation officers and correctional treatment specialists,2015
social and human service assistants,social and human service assistants,2016
other community and social service specialists,other community and social service specialists,2025
health education specialists,health education specialists ,2025
community health workers,community health workers ,2025
"community and social service specialists, all other","community and social service specialists, all other ",2025
clergy,clergy,2040
"directors, religious activities and education","directors, religious activities and education",2050
"religious workers, all other","religious workers, all other",2060
"lawyers, and judges, magistrates, and other judicial workers","lawyers, and judges, magistrates, and other judicial workers",2100
lawyers, lawyers,2100
"judges, magistrates, and other judicial workers"," judges, magistrates, and other judicial workers",2110
judicial law clerks,judicial law clerks,2105
paralegals and legal assistants,paralegals and legal assistants,2145
"title examiners, abstractors, and searchers","title examiners, abstractors, and searchers",2170
"legal support workers, all other","legal support workers, all other",2180
postsecondary teachers,postsecondary teachers,2205
preschool and kindergarten teachers,preschool and kindergarten teachers,2300
elementary and middle school teachers,elementary and middle school teachers,2310
secondary school teachers,secondary school teachers,2320
special education teachers,special education teachers,2330
tutors,tutors,2350
other teachers and instructors,other teachers and instructors,2360
"adult basic education, adult secondary education, and english as a second language instructors","adult basic education, adult secondary education, and english as a second language instructors",2360
self-enrichment teachers,self-enrichment teachers,2360
"substitute teachers, short-term","substitute teachers, short-term ",2360
"teachers and instructors, all other","teachers and instructors, all other ",2360
"archivists, curators, and museum technicians","archivists, curators, and museum technicians",2400
librarians and media collections specialists,librarians and media collections specialists,2435
library technicians,library technicians,2440
teaching assistants,teaching assistants,2545
other educational instruction and library workers,other educational instruction and library workers,2555
farm and home management educators,farm and home management educators,2555
instructional coordinators,instructional coordinators,2555
"educational instruction and library workers, all other","educational instruction and library workers, all other",2555
artists and related workers,artists and related workers,2600
commercial and industrial designers,commercial and industrial designers,2631
fashion designers,fashion designers,2632
floral designers,floral designers,2633
graphic designers,graphic designers,2634
interior designers,interior designers,2635
merchandise displayers and window trimmers,merchandise displayers and window trimmers,2636
other designers,other designers,2640
set and exhibit designers,set and exhibit designers ,2640
"designers, all other","designers, all other",2640
actors,actors,2700
producers and directors,producers and directors,2710
athletes and sports competitors,athletes and sports competitors,2721
coaches and scouts,coaches and scouts,2722
"umpires, referees, and other sports officials","umpires, referees, and other sports officials",2723
dancers and choreographers,dancers and choreographers,2740
music directors and composers,music directors and composers,2751
musicians and singers,musicians and singers,2752
"disc jockeys, except radio","disc jockeys, except radio",2755
"entertainers and performers, sports and related workers, all other","entertainers and performers, sports and related workers, all other",2770
broadcast announcers and radio disc jockeys,broadcast announcers and radio disc jockeys,2805
"news analysts, reporters, and journalists","news analysts, reporters, and journalists",2810
public relations specialists,public relations specialists,2825
editors,editors,2830
technical writers,technical writers,2840
writers and authors,writers and authors,2850
interpreters and translators,interpreters and translators,2861
court reporters and simultaneous captioners,court reporters and simultaneous captioners,2862
"media and communication workers, all other","media and communication workers, all other",2865
other media and communication equipment workers,other media and communication equipment workers,2905
"broadcast, sound, and lighting technicians"," broadcast, sound, and lighting technicians",2905
"media and communication equipment workers, all other"," media and communication equipment workers, all other",2970
photographers,photographers,2910
"television, video, and film camera operators and editors","television, video, and film camera operators and editors",2920
chiropractors,chiropractors,3000
dentists,dentists,3010
dietitians and nutritionists,dietitians and nutritionists,3030
optometrists,optometrists,3040
pharmacists,pharmacists,3050
physicians,physicians,3090
emergency medicine physicians, emergency medicine physicians,3065
radiologists, radiologists,3070
other physicians, other physicians,3090
anesthesiologists,anesthesiologists  ,3090
cardiologists,cardiologists  ,3090
dermatologists,dermatologists  ,3090
family medicine physicians,family medicine physicians  ,3090
general internal medicine physicians,general internal medicine physicians  ,3090
neurologists,neurologists  ,3090
obstetricians and gynecologists,obstetricians and gynecologists  ,3090
"pediatricians, general","pediatricians, general  ",3090
"physicians, pathologists","physicians, pathologists  ",3090
psychiatrists,psychiatrists  ,3090
"physicians, all other","physicians, all other  ",3090
surgeons,surgeons,3100
physician assistants,physician assistants,3110
podiatrists,podiatrists,3120
audiologists,audiologists,3140
occupational therapists,occupational therapists,3150
physical therapists,physical therapists,3160
radiation therapists,radiation therapists,3200
recreational therapists,recreational therapists,3210
respiratory therapists,respiratory therapists,3220
speech-language pathologists,speech-language pathologists,3230
other therapists,other therapists,3245
exercise physiologists, exercise physiologists,3235
"therapists, all other"," therapists, all other",3245
veterinarians,veterinarians,3250
registered nurses,registered nurses,3255
nurse anesthetists,nurse anesthetists,3256
"nurse practitioners, and nurse midwives","nurse practitioners, and nurse midwives",3258
nurse midwives, nurse midwives,3257
nurse practitioners, nurse practitioners,3258
acupuncturists,acupuncturists,3261
"healthcare diagnosing or treating practitioners, all other","healthcare diagnosing or treating practitioners, all other",3270
clinical laboratory technologists and technicians,clinical laboratory technologists and technicians,3300
dental hygienists,dental hygienists,3310
cardiovascular technologists and technicians,cardiovascular technologists and technicians,3321
diagnostic medical sonographers,diagnostic medical sonographers,3322
radiologic technologists and technicians,radiologic technologists and technicians,3323
magnetic resonance imaging technologists,magnetic resonance imaging technologists,3324
nuclear medicine technologists and medical dosimetrists,nuclear medicine technologists and medical dosimetrists,3330
nuclear medicine technologists,nuclear medicine technologists ,3330
medical dosimetrists,medical dosimetrists ,3330
emergency medical technicians,emergency medical technicians,3401
